id,alimento,energia_Kcal,energia_KJ,prot_tot_gr,glucidi_tot,lipidi_tot,saturi_tot,fkAllergene,fkTipologiaAlimento
1,"ACCIUGHE o ALICI [ENGRAULIS ENCHRASICHOL]",96.00,402.00,16.80,1.50,2.60,0.69,4,1
2,"ACCIUGHE o ALICI SOTTO SALE",128.00,536.00,25.00,0.00,3.10,0.82,4,1
3,"ACCIUGHE o ALICI SOTT'OLIO",206.00,862.00,25.90,0.20,11.30,2.21,4,1
4,ACETO,4.00,17.00,0.40,0.60,0.00,0.00,12,1
5,ACQUA,0.00,0.00,0.00,0.00,0.00,0.00,15,1
6,"ACQUA TONICA",33.00,138.00,0.00,8.80,0.00,0.00,15,1
7,"AGAR AGAR [EUCHEUMA spp], secco",16.00,67.00,1.60,2.00,1.20,0.24,15,1
8,"AGLIO [ALLIUM SATIVUM], fresco",41.00,172.00,0.90,8.40,0.60,0.11,15,11
9,"AGLIO, in polvere",246.00,1029.00,18.70,42.70,1.20,0.21,15,1
10,"AGNELLO [OVIS AGNUS]",162.00,678.00,20.80,0.00,8.80,4.15,15,7
11,"AGNELLO, CARNE GRASSA",279.00,1167.00,18.00,0.00,23.00,10.86,15,7
12,"AGNELLO, CARNE MAGRA",121.00,506.00,20.00,0.00,4.60,2.17,15,7
13,"AGNELLO, CARNE SEMIGRASSA",211.00,883.00,19.00,0.00,15.00,7.08,15,7
14,"AGNELLO, CORATELLA",110.00,460.00,15.70,1.20,4.70,1.66,15,7
15,"AGNELLO, COSTOLETTE",386.00,1615.00,14.60,0.00,36.30,17.14,15,7
16,"AGRETTI [LEPIDUM SATIVUM]",17.00,71.00,1.80,2.20,0.20,0.01,15,11
17,"ALBICOCCHE (PRUNUS ARMENIACA)",28.00,117.00,0.40,6.80,0.10,0.01,15,9
18,"ALBICOCCHE, polpa secca",188.00,787.00,4.80,43.40,0.70,0.05,15,9
19,"ALCOOL PURO",516.00,2159.00,0.00,0.00,0.00,0.00,15,1
20,"ALLORO [LAURUS NOBILIS], secco",313.00,1310.00,7.60,48.60,8.40,2.29,15,1
21,"AMARENE [PRUNUS CERASUS]",41.00,172.00,0.80,10.20,0.00,0.00,15,9
22,"AMARI A BASSA GRADAZIONE",261.00,1092.00,2.00,32.80,0.00,0.00,15,1
23,"AMARI AD ALTA GRADAZIONE",232.00,971.00,2.00,0.50,0.00,0.00,15,1
24,AMIDO,379.00,1586.00,0.40,100.10,0.20,0.04,15,1
25,"ANANAS [ANANAS SATIVUS]",40.00,167.00,0.50,10.00,0.00,0.00,15,9
26,"ANANAS SCIROPPATA",77.00,322.00,0.30,20.20,2.00,0.00,15,1
27,"ANATRA [ANAS BOSCHAS]",159.00,665.00,21.40,0.00,8.20,2.29,15,7
28,"ANGUILLA DI FIUME [ANGUILLA ANGUILLA]",261.00,1092.00,11.80,0.10,23.70,4.79,4,13
29,"ANGUILLA DI MARE [ANGUILLA ANGUILLA]",237.00,992.00,14.60,0.70,19.60,3.96,4,13
30,"ANGUILLA MARINATA",259.00,1084.00,14.80,0.60,21.90,4.43,4,1
31,APERITIVI,186.00,778.00,3.00,17.00,0.00,0.00,15,2
32,"ARACHIDI [ARACHIS HYPOGEA] CRUDE",571.00,2389.00,26.00,11.20,47.20,6.73,5,1
33,"ARACHIDI TOSTATE",597.00,2498.00,29.00,8.50,50.00,7.13,5,1
34,"ARACHIDI TOSTATE E SALATE",602.00,2519.00,24.50,7.10,53.00,7.56,5,1
35,"ARAGOSTA [PALINURUS ELEPHAS]",86.00,360.00,16.20,1.00,1.90,0.30,2,13
36,"ARANCE [CITRUS AURANTIUM]",34.00,142.00,0.70,7.80,0.20,0.03,15,9
37,"ARANCE, SCORZA",97.00,406.00,1.50,14.40,0.20,0.02,15,1
38,"ARANCIATA IN LATTINA",38.00,159.00,0.10,10.00,0.00,0.00,15,1
39,"ARINGA [CLUPEA HARENGUS]",190.00,795.00,17.80,0.00,13.20,2.63,4,13
40,"ARINGA AFFUMICATA",194.00,812.00,19.90,0.00,12.70,2.53,4,1
41,"ARINGA MARINATA",199.00,833.00,18.30,0.00,14.00,2.79,4,1
42,"ARINGA SALATA",218.00,912.00,19.80,0.00,15.40,3.07,4,1
43,ASIAGO,356.00,1490.00,31.40,2.00,25.60,15.89,7,6
44,"ASPARAGI DI BOSCO [ASPARAGUS OFFICINALIS]",35.00,146.00,4.60,4.00,0.20,0.05,15,11
45,"ASPARAGI DI CAMPO",29.00,121.00,3.60,3.30,0.20,0.05,15,11
46,"ASPARAGI DI SERRA",24.00,100.00,3.00,3.00,0.10,0.02,15,11
47,"ASPARAGI IN SCATOLA",19.00,79.00,2.10,0.90,0.70,0.15,15,11
48,"ASTICE [HOMARUS VULGARIS]",90.00,377.00,18.80,0.50,0.90,0.06,2,13
49,"AVENA [AVENA SATIVA]",389.00,1628.00,16.90,55.70,6.90,1.22,1,1
50,"AVOCADO [PERSEA GRATISSIMA]",231.00,967.00,4.40,1.80,23.00,2.70,15,11
51,"BABA' AL RHUM",252.00,1054.00,5.90,41.40,5.70,2.81,"1, 3, 7",2
52,"BABACO [CARICA PENTAGONA]",21.00,88.00,0.70,4.50,0.10,0.03,15,9
53,"BACCALA' [MERLUCCIUS MERLUCCIUS], ammollato",95.00,397.00,21.60,0.00,1.00,0.19,"4, 12",13
54,"BACCALA', secco",122.00,510.00,29.00,0.00,0.70,0.14,"4, 12",1
55,"BANANA [MUSA SAPIENTIUM]",66.00,276.00,1.20,15.50,0.30,0.10,15,11
56,"BARBABIETOLE ROSSE [BETA VULGARIS, CV RAPA, FORMA RUBRA]",20.00,84.00,1.10,4.00,0.00,0.00,15,11
