id,fkTipoPreparazione,descrizione,isEstivo,isInvernale,allergeni,inizio,fine,dataInserimento,utenteInserimento,dataCancellazione,utenteCancellazione,immagine
19,1,BESCIAMELLA,1,1,"GLUTINE, LATTE",2018-07-06,NULL,"2023-03-22 10:40:35.760000",s.diberti,NULL,NULL,NULL
20,1,"INSALATA RUSSA",1,0,"UOVA, PESCE,",2018-07-06,NULL,"2023-11-08 12:54:30.507000",s.diberti,NULL,NULL,NULL
21,1,"SALSA TONNATA",1,0,"UOVA, PESCE, ANIDRIDE SOLFOROSA E SOLFITI",2018-07-06,NULL,"2023-11-09 08:44:01.747000",v.giurdanella,NULL,NULL,NULL
22,1,"FUNGHI TRIFOLATI",1,1,"ANIDRIDE SOLFOROSA E SOLFITI,",2018-07-06,NULL,"2023-11-08 12:52:17.997000",s.diberti,NULL,NULL,NULL
23,1,MIREPOIX,1,1,SEDANO,2018-07-06,NULL,"2023-11-08 12:54:57.560000",s.diberti,NULL,NULL,NULL
24,1,"SALSA VERDE",0,1,"ANIDRIDE SOLFOROSA E SOLFITI, PESCE, GLUTINE, UOVO",2018-07-09,NULL,"2023-11-09 08:44:50.557000",v.giurdanella,NULL,NULL,NULL
25,1,"SALSA ROSSA",1,1,"ANIDRIDE SOLFOROSA E SOLFITI, PESCE",2018-07-09,NULL,"2023-11-09 08:41:00.930000",v.giurdanella,NULL,NULL,NULL
26,1,"RISO PILAFF",1,1,"SEDANO, LATTE",2018-07-09,NULL,"2023-11-09 08:34:05.600000",v.giurdanella,NULL,NULL,NULL
27,1,"BRODO DI CARNE/POLLO",1,1,SEDANO,2018-07-09,NULL,"2023-11-08 12:36:37.207000",s.diberti,NULL,NULL,NULL
28,1,"SALSA DI POMODORO",1,1,SEDANO,2018-07-09,NULL,"2023-11-09 08:34:56.660000",v.giurdanella,NULL,NULL,NULL
29,2,"PASSATO DI VERDURE",1,1,NULL,2018-07-09,NULL,"2021-02-22 09:43:31.770000",e.governa,NULL,NULL,NULL
30,2,"PASTA  ALLA PAPALINA",0,1,NULL,2018-07-09,NULL,NULL,NULL,NULL,NULL,NULL
31,2,"PASTA  ALLA AMATRICIANA",1,1,NULL,2018-07-09,NULL,NULL,NULL,NULL,NULL,NULL
32,2,"PASTA  PANNA E SPECK",0,1,NULL,2018-07-10,NULL,NULL,NULL,NULL,NULL,NULL
33,2,"PASTA AL TONNO",1,1,NULL,2018-07-10,NULL,NULL,NULL,NULL,NULL,NULL
34,2,"SPAGHETTI AGLIO, OLIO E PEPERONCINO",1,1,NULL,2018-07-10,NULL,NULL,NULL,NULL,NULL,NULL
35,2,"PASTA AL RAGU' DI VERDURE",1,1,NULL,2018-07-10,NULL,"2024-04-19 11:48:57.720000",t.monge,NULL,NULL,NULL
36,2,"PASTA AL SUGO VERDURE PRIMAVERA",1,0,NULL,2018-07-10,NULL,"2023-03-22 10:14:29.647000",s.diberti,NULL,NULL,NULL
37,1,"FONDO BRUNO",1,1,"SEDANO, LATTE, ANIDRIDE SOLFOROSA E SOLFITI, GLUTINE",2018-07-11,NULL,"2023-11-08 12:51:33.217000",s.diberti,NULL,NULL,NULL
38,2,"CREMA DI PATATE",1,1,SEDANO,2018-07-11,NULL,"2023-11-09 08:57:20.460000",v.giurdanella,NULL,NULL,NULL
39,2,"SUGO VERDURE PRIMAVERA",0,0,NULL,2018-07-11,2018-10-04,"2023-03-22 10:16:21.950000",s.diberti,NULL,NULL,NULL
40,2,"PASTA AI BROCCOLI",0,1,NULL,2018-07-11,NULL,NULL,NULL,NULL,NULL,NULL
41,2,"PASTA AL RAGU' DI CARNE",1,1,NULL,2018-07-11,NULL,NULL,NULL,NULL,NULL,NULL
42,2,"PASTA ALLE MELANZANE",1,0,NULL,2018-07-11,NULL,"2023-03-22 10:18:16.280000",s.diberti,NULL,NULL,NULL
43,2,"INSALATA DI RISO",1,0,NULL,2018-07-12,NULL,NULL,NULL,NULL,NULL,NULL
44,2,"PASTA ALLE OLIVE",1,1,NULL,2018-07-12,NULL,"2023-03-22 10:37:38.987000",s.diberti,NULL,NULL,NULL
45,2,"PASTA E LENTICCHIE",1,1,NULL,2018-07-12,NULL,NULL,NULL,NULL,NULL,NULL
46,2,"CREMA DI CAROTE",1,1,SEDANO,2018-07-12,NULL,"2023-11-09 08:53:35.193000",v.giurdanella,NULL,NULL,NULL
47,2,"PASTA E FAGIOLI",0,1,Febbraio2023,2018-07-12,NULL,"2023-02-14 14:11:40.787000",m.cannarozzo,NULL,NULL,NULL
48,2,"PASTA ALLA PESCATORA",1,1,NULL,2018-07-15,NULL,NULL,NULL,NULL,NULL,NULL
49,2,"PASTA ALLE VONGOLE",1,1,NULL,2018-07-15,NULL,NULL,NULL,NULL,NULL,NULL
50,2,"PASTA E CECI",1,1,NULL,2018-07-15,NULL,NULL,NULL,NULL,NULL,NULL
51,2,"LASAGNA AL RAGU' DI CARNE",0,1,NULL,2018-07-15,NULL,"2023-09-18 11:48:25.200000",s.diberti,NULL,NULL,NULL
52,2,"ZUPPA ORTOLANA",1,1,NULL,2018-07-15,NULL,NULL,NULL,NULL,NULL,NULL
53,3,BRASATO,0,1,NULL,2018-07-15,NULL,NULL,NULL,NULL,NULL,NULL
54,3,"SPEZZATINO BOVINO E PATATE",1,1,NULL,2018-07-15,NULL,"2023-08-21 15:20:25.547000",s.diberti,NULL,NULL,NULL
55,3,SVIZZERINE,1,1,NULL,2018-07-15,NULL,NULL,NULL,NULL,NULL,NULL
56,3,"PETTO POLLO  AI FERRI",1,1,NULL,2018-07-15,NULL,NULL,NULL,NULL,NULL,NULL
57,3,POLPETTE,1,1,NULL,2018-07-15,NULL,"2021-06-15 15:25:04.013000",e.governa,NULL,NULL,NULL
58,3,"FLAN DI CARNE E SPINACI",1,1,NULL,2018-07-15,NULL,NULL,NULL,NULL,NULL,NULL
59,3,"INSALATA DI POLLO",1,0,NULL,2018-07-15,NULL,NULL,NULL,NULL,NULL,NULL
60,3,"ARISTA ARROSTO",1,1,NULL,2018-07-17,NULL,NULL,NULL,NULL,NULL,NULL
61,3,"POLLO ALLA DIAVOLA",1,1,NULL,2018-07-17,NULL,NULL,NULL,NULL,NULL,NULL
62,3,"POLLO ALLA CACCIATORA",1,1,NULL,2018-07-17,NULL,NULL,NULL,NULL,NULL,NULL
63,3,"POLLO ARROSTO",1,1,NULL,2018-07-17,NULL,NULL,NULL,NULL,NULL,NULL
64,3,"SCALOPPE POLLO AL LIMONE",1,1,NULL,2018-07-17,NULL,"2022-05-26 16:19:24.597000",s.diberti,NULL,NULL,NULL
65,3,"PEPERONI RIPIENI",1,0,NULL,2018-07-17,NULL,NULL,NULL,NULL,NULL,NULL
66,3,"TAGLIATA DI VITELLO",1,1,NULL,2018-07-17,NULL,NULL,NULL,NULL,NULL,NULL
67,3,"CONIGLIO ARROSTO",1,1,NULL,2018-07-18,NULL,NULL,NULL,NULL,NULL,NULL
68,3,"CONIGLIO ALLA SARDA",0,1,NULL,2018-07-18,NULL,NULL,NULL,NULL,NULL,NULL
69,3,"STRACOTTO DI MANZO",0,1,NULL,2018-07-18,NULL,NULL,NULL,NULL,NULL,NULL
70,3,"ARROSTO DI VITELLO",1,1,,2018-07-22,NULL,"2023-02-15 16:08:44.193000",s.diberti,NULL,NULL,NULL
71,3,"FRITTATA ALLE ERBETTE",1,1,NULL,2018-07-22,NULL,NULL,NULL,NULL,NULL,NULL
72,3,"FRITTATA AL PROSCIUTTO",1,1,NULL,2018-07-22,NULL,NULL,NULL,NULL,NULL,NULL
