id,fkPreparazione,fkAlimento,quantita,fkTipoQuantita,note,dataInserimento,utenteInserimento,dataCancellazione,utenteCancellazione
1,20,518.0,30.0,1,,2023-02-16 08:18:52.507000,f.gallo,,
2,20,146.0,30.0,1,,,,,
3,20,545.0,30.0,1,,2023-02-16 08:18:48.210000,f.gallo,,
4,20,733.0,10.0,1,ALLERGENE,2020-01-30 15:05:52.067000,e.governa,,
5,20,388.0,5.0,1,ALLERGENE,2020-01-30 15:05:58.853000,e.governa,,
6,20,626.0,0.1,1,,,,,
7,20,4.0,0.1,1,ALLERGENE,2020-01-30 15:05:39.477000,e.governa,2023-02-04 17:40:27.440000,M.CANNAROZZO
8,20,794.0,25.0,1,ALLERGENE,2023-02-16 08:19:16.973000,f.gallo,,
9,21,388.0,20.0,1,ALLERGENE,2020-01-30 15:10:21.480000,e.governa,,
10,21,731.0,15.0,1,ALLERGENE,2020-01-30 15:10:26.567000,e.governa,,
11,21,3.0,3.0,1,ALLERGENE,2020-01-30 15:10:31.217000,e.governa,,
12,21,133.0,3.0,1,ALLERGENE,2023-02-13 12:02:28.990000,m.cannarozzo,,
13,21,757.0,0.1,1,ALLERGENE,2020-01-30 15:10:35.863000,e.governa,,
14,22,306.0,80.0,1,,,,,
15,22,574.0,5.0,1,,,,,
16,22,8.0,0.1,1,,,,,
17,22,757.0,2.0,1,ALLERGENE,2024-01-25 10:05:27.007000,f.gallo,,
18,22,688.0,0.1,1,,,,,
19,22,451.0,3.0,1,,,,,
20,23,188.0,15.0,1,,,,,
21,23,146.0,15.0,1,,,,,
22,23,647.0,15.0,1,ALLERGENE,2020-01-30 11:59:09.043000,e.governa,,
23,23,451.0,7.0,1,,,,,
24,23,626.0,0.1,1,,,,,
25,24,574.0,5.0,1,,,,,
26,24,3.0,2.0,1,ALLERGENE,2020-01-30 15:11:17.797000,e.governa,,
27,24,8.0,2.0,1,,,,,
28,24,133.0,2.0,1,ALLERGENE,2023-02-08 18:11:58.257000,M.CANNAROZZO,,
