"id";"alimento";"energia_Kcal";"energia_KJ";"prot_tot_gr";"glucidi_tot";"lipidi_tot";"saturi_tot";"fkAllergene1";"fkAllergene2";"fkAllergene3";"fkTipologiaAlimento"
1;"ACCIUGHE o ALICI [ENGRAULIS ENCHRASICHOL]";96.0;402.0;16.8;1.5;2.6;0.69;4;0;0;1
2;"ACCIUGHE o ALICI SOTTO SALE";128.0;536.0;25.0;0.0;3.1;0.82;4;0;0;1
3;"ACCIUGHE o ALICI SOTT'OLIO";206.0;862.0;25.9;0.2;11.3;2.21;4;0;0;1
4;"ACETO";4.0;17.0;0.4;0.6;0.0;0.0;12;0;0;1
5;"ACQUA";0.0;0.0;0.0;0.0;0.0;0.0;15;0;0;1
6;"ACQUA TONICA";33.0;138.0;0.0;8.8;0.0;0.0;15;0;0;1
7;"AGAR AGAR [EUCHEUMA spp], secco";16.0;67.0;1.6;2.0;1.2;0.24;15;0;0;1
8;"AGLIO [ALLIUM SATIVUM], fresco";41.0;172.0;0.9;8.4;0.6;0.11;15;0;0;11
9;"AGLIO, in polvere";246.0;1029.0;18.7;42.7;1.2;0.21;15;0;0;1
10;"AGNELLO [OVIS AGNUS]";162.0;678.0;20.8;0.0;8.8;4.15;15;0;0;7
11;"AGNELLO, CARNE GRASSA";279.0;1167.0;18.0;0.0;23.0;10.86;15;0;0;7
12;"AGNELLO, CARNE MAGRA";121.0;506.0;20.0;0.0;4.6;2.17;15;0;0;7
13;"AGNELLO, CARNE SEMIGRASSA";211.0;883.0;19.0;0.0;15.0;7.08;15;0;0;7
14;"AGNELLO, CORATELLA";110.0;460.0;15.7;1.2;4.7;1.66;15;0;0;7
15;"AGNELLO, COSTOLETTE";386.0;1615.0;14.6;0.0;36.3;17.14;15;0;0;7
16;"AGRETTI [LEPIDUM SATIVUM]";17.0;71.0;1.8;2.2;0.2;0.01;15;0;0;11
17;"ALBICOCCHE (PRUNUS ARMENIACA)";28.0;117.0;0.4;6.8;0.1;0.01;15;0;0;9
18;"ALBICOCCHE, polpa secca";188.0;787.0;4.8;43.4;0.7;0.05;15;0;0;9
19;"ALCOOL PURO";516.0;2159.0;0.0;0.0;0.0;0.0;15;0;0;1
20;"ALLORO [LAURUS NOBILIS], secco";313.0;1310.0;7.6;48.6;8.4;2.29;15;0;0;1
21;"AMARENE [PRUNUS CERASUS]";41.0;172.0;0.8;10.2;0.0;0.0;15;0;0;9
22;"AMARI A BASSA GRADAZIONE";261.0;1092.0;2.0;32.8;0.0;0.0;15;0;0;1
23;"AMARI AD ALTA GRADAZIONE";232.0;971.0;2.0;0.5;0.0;0.0;15;0;0;1
24;"AMIDO";379.0;1586.0;0.4;100.1;0.2;0.04;15;0;0;1
25;"ANANAS [ANANAS SATIVUS]";40.0;167.0;0.5;10.0;0.0;0.0;15;0;0;9
26;"ANANAS SCIROPPATA";77.0;322.0;0.3;20.2;2.0;0.0;15;0;0;1
27;"ANATRA [ANAS BOSCHAS]";159.0;665.0;21.4;0.0;8.2;2.29;15;0;0;7
28;"ANGUILLA DI FIUME [ANGUILLA ANGUILLA]";261.0;1092.0;11.8;0.1;23.7;4.79;4;0;0;13
29;"ANGUILLA DI MARE [ANGUILLA ANGUILLA]";237.0;992.0;14.6;0.7;19.6;3.96;4;0;0;13
30;"ANGUILLA MARINATA";259.0;1084.0;14.8;0.6;21.9;4.43;4;0;0;1
31;"APERITIVI";186.0;778.0;3.0;17.0;0.0;0.0;15;0;0;2
32;"ARACHIDI [ARACHIS HYPOGEA] CRUDE";571.0;2389.0;26.0;11.2;47.2;6.73;5;0;0;1
33;"ARACHIDI TOSTATE";597.0;2498.0;29.0;8.5;50.0;7.13;5;0;0;1
34;"ARACHIDI TOSTATE E SALATE";602.0;2519.0;24.5;7.1;53.0;7.56;5;0;0;1
35;"ARAGOSTA [PALINURUS ELEPHAS]";86.0;360.0;16.2;1.0;1.9;0.3;2;0;0;13
36;"ARANCE [CITRUS AURANTIUM]";34.0;142.0;0.7;7.8;0.2;0.03;15;0;0;9
37;"ARANCE, SCORZA";97.0;406.0;1.5;14.4;0.2;0.02;15;0;0;1
38;"ARANCIATA IN LATTINA";38.0;159.0;0.1;10.0;0.0;0.0;15;0;0;1
39;"ARINGA [CLUPEA HARENGUS]";190.0;795.0;17.8;0.0;13.2;2.63;4;0;0;13
40;"ARINGA AFFUMICATA";194.0;812.0;19.9;0.0;12.7;2.53;4;0;0;1
41;"ARINGA MARINATA";199.0;833.0;18.3;0.0;14.0;2.79;4;0;0;1
42;"ARINGA SALATA";218.0;912.0;19.8;0.0;15.4;3.07;4;0;0;1
43;"ASIAGO";356.0;1490.0;31.4;2.0;25.6;15.89;7;0;0;6
44;"ASPARAGI DI BOSCO [ASPARAGUS OFFICINALIS]";35.0;146.0;4.6;4.0;0.2;0.05;15;0;0;11
45;"ASPARAGI DI CAMPO";29.0;121.0;3.6;3.3;0.2;0.05;15;0;0;11
46;"ASPARAGI DI SERRA";24.0;100.0;3.0;3.0;0.1;0.02;15;0;0;11
47;"ASPARAGI IN SCATOLA";19.0;79.0;2.1;0.9;0.7;0.15;15;0;0;11
48;"ASTICE [HOMARUS VULGARIS]";90.0;377.0;18.8;0.5;0.9;0.06;2;0;0;13
49;"AVENA [AVENA SATIVA]";389.0;1628.0;16.9;55.7;6.9;1.22;1;0;0;1
50;"AVOCADO [PERSEA GRATISSIMA]";231.0;967.0;4.4;1.8;23.0;2.7;15;0;0;11
51;"BABA' AL RHUM";252.0;1054.0;5.9;41.4;5.7;2.81;1;3;7;2
52;"BABACO [CARICA PENTAGONA]";21.0;88.0;0.7;4.5;0.1;0.03;15;0;0;9
53;"BACCALA' [MERLUCCIUS MERLUCCIUS], ammollato";95.0;397.0;21.6;0.0;1.0;0.19;4;12;0;13
54;"BACCALA', secco";122.0;510.0;29.0;0.0;0.7;0.14;4;12;0;1
55;"BANANA [MUSA SAPIENTIUM]";66.0;276.0;1.2;15.5;0.3;0.1;15;0;0;11
56;"BARBABIETOLE ROSSE [BETA VULGARIS, CV RAPA, FORMA RUBRA]";20.0;84.0;1.1;4.0;0.0;0.0;15;0;0;11
57;"BASILICO [OCIMUM BASILICUM], fresco";40.0;167.0;3.1;5.1;0.8;0.05;15;0;0;11
58;"BASILICO, secco macinato";251.0;1050.0;14.4;43.2;4.0;0.27;15;0;0;1
59;"BEVANDE GASSATE DIETETICHE";17.0;71.0;2.0;4.3;0.0;0.0;15;0;0;1
60;"BIETA [BETA VULGARIS, CV CICLA]";17.0;71.0;1.3;2.8;0.1;0.02;15;0;0;11
61;"BIETA IN SCATOLA";31.0;130.0;0.9;5.5;0.1;0.02;15;0;0;1
62;"BIGNE'";318.0;1331.0;4.6;43.0;15.4;7.37;15;0;0;2
63;"BIRRA CHIARA";34.0;142.0;0.2;3.5;0.0;0.0;15;0;0;1
64;"BIRRA SCURA";30.0;126.0;0.3;3.0;2.0;2.0;15;0;0;1
65;"BISCOTTI AL LATTE";417.0;1745.0;13.8;76.1;8.5;1.7;1;7;0;1
66;"BISCOTTI FROLLINI";493.0;2063.0;7.4;68.5;21.0;10.45;1;0;0;1
67;"BISCOTTI INTEGRALI";448.0;1874.0;8.5;59.5;19.5;5.96;1;0;0;1
68;"BISCOTTI PER L'INFANZIA";417.0;1745.0;13.8;76.1;8.5;2.41;1;0;0;1
69;"BISCOTTI 'PETIT BEURRE'";415.0;1736.0;6.0;84.7;8.2;4.67;1;0;0;1
70;"BISCOTTI RICOPERTI AL CIOCCOLATO";524.0;2192.0;5.7;67.4;27.6;5.55;1;0;0;1
71;"BISCOTTI SAVOIARDO";392.0;1640.0;11.9;69.8;9.2;2.83;1;0;0;1
72;"BISCOTTI WAFERS";454.0;1900.0;7.1;77.6;15.0;3.86;1;0;0;1
73;"BISCOTTO PER LA PRIMA COLAZIONE";418.0;1749.0;6.6;85.4;7.9;3.06;15;0;0;1
74;"BOVINO, CERVELLO";157.0;657.0;9.8;0.8;12.7;2.95;15;0;0;7
75;"BOVINO, CUORE";123.0;515.0;16.8;0.5;6.0;2.94;15;0;0;7
76;"BOVINO, FEGATO";146.0;611.0;21.0;5.9;4.4;1.62;15;0;0;7
77;"BOVINO, LESSATO IN GELATINA, IN SCATOLA";87.0;364.0;13.9;0.0;3.5;1.48;12;0;0;7
78;"BOVINO, LINGUA";231.0;967.0;17.1;0.4;18.0;7.71;15;0;0;7
79;"BOVINO, LINGUA SALMISTRATA";260.0;1088.0;22.5;0.2;18.8;8.18;15;0;0;7
80;"BOVINO, MIDOLLO OSSEO";822.0;3439.0;3.2;0.0;89.9;27.34;15;0;0;7
81;"BOVINO, MILZA";107.0;448.0;18.5;0.0;3.7;1.57;15;0;0;7
82;"BOVINO, POLMONE";75.0;314.0;14.0;0.0;2.1;0.72;15;0;0;7
83;"BOVINO, RENE";118.0;494.0;18.4;0.8;4.6;1.93;15;0;0;7
84;"BOVINO, SANGUE";75.0;314.0;17.8;0.8;0.1;0.04;15;0;0;7
85;"BOVINO, TRIPPA";108.0;452.0;15.8;0.0;5.0;2.57;15;0;0;7
86;"BRA";328.0;1372.0;30.7;2.0;22.8;14.15;15;0;0;7
87;"BRANDY";224.0;937.0;2.0;2.0;0.0;0.0;15;0;0;1
88;"BRESAOLA";175.0;732.0;34.0;0.0;4.3;1.82;15;0;0;7
89;"BRIE";319.0;1335.0;19.3;2.0;26.9;16.92;7;0;0;6
90;"BRIOCHES";413.0;1728.0;7.2;58.4;18.3;10.2;1;0;0;3
91;"BRIOCHES CON CREMA";391.0;1636.0;6.9;55.6;17.1;9.44;1;7;0;3
92;"BRIOCHES CON MARMELLATA";394.0;1648.0;6.5;58.4;16.5;9.18;1;0;0;3
93;"BROCCOLETTI DI RAPE [BRASSICA RAPA, CV ESCULENTA]";22.0;92.0;2.9;2.0;0.3;0.07;15;0;0;11
94;"BROCCOLO A TESTA [BRASSICA OLERACEA, CV BOTRYTIS CAPUT]";27.0;113.0;3.0;3.1;0.4;0.06;15;0;0;11
95;"BRODO DI CARNE E VERDURA";5.0;21.0;0.7;0.1;0.2;0.05;15;0;0;2
96;"BRODO DI CARNE VARIA";7.0;29.0;1.1;2.0;0.2;0.11;15;0;0;2
97;"BRODO DI DADO";3.0;13.0;0.3;0.1;0.4;0.2;15;0;0;2
98;"BRODO DI GALLINA";9.0;38.0;0.6;0.6;0.5;0.11;15;0;0;2
99;"BRODO VEGETALE";5.0;21.0;0.3;0.3;0.4;0.09;15;0;0;2
100;"BUCCIA D'ARANCIA CANDITA";313.0;1310.0;0.2;82.7;0.2;0.02;12;0;0;1
101;"BUDINO AL CIOCCOLATO";133.0;556.0;2.7;21.8;4.0;0.71;15;0;0;2
102;"BUDINO ALLA VANIGLIA";130.0;544.0;2.3;21.8;3.6;0.57;15;0;0;2
103;"BURRATA";396.0;1657.0;15.2;5.7;34.9;20.82;7;0;0;6
104;"BURRINI";517.0;2163.0;22.1;1.6;47.0;27.57;7;0;0;6
105;"BURRO";758.0;3171.0;0.8;1.1;83.4;48.78;7;0;0;6
106;"BURRO DI ARACHIDI";623.0;2607.0;22.6;13.1;53.7;10.62;5;0;0;1
107;"CACAO AMARO, IN POLVERE";355.0;1485.0;20.4;11.5;25.6;15.09;15;0;0;1
108;"CACAO DOLCE, IN POLVERE, SOLUBILE";349.0;1460.0;4.5;67.7;8.6;5.07;15;0;0;1
109;"CACIOCAVALLO";439.0;1837.0;37.7;2.1;31.1;19.95;7;0;0;6
110;"CACIOCAVALLO AFFUMICATO";439.0;1837.0;37.7;2.1;31.1;19.95;7;0;0;6
111;"CACIOTTA AFFUMICATA";364.0;1523.0;27.7;2.1;27.3;17.34;7;0;0;6
112;"CACIOTTA ROMANA DI PECORA";364.0;1523.0;27.7;2.1;27.3;17.34;7;0;0;6
113;"CACIOTTA TOSCANA";373.0;1561.0;24.6;2.1;29.6;18.37;7;0;0;6
