id,fkPiatto,fkPreparazione,dataInserimento,utenteInserimento,dataCancellazione,utenteCancellazione
1,1,109,NULL,NULL,NULL,NULL
5,2,86,NULL,NULL,NULL,NULL
6,2,211,NULL,NULL,NULL,NULL
7,2,217,NULL,NULL,NULL,NULL
8,3,87,NULL,NULL,NULL,NULL
9,3,140,NULL,NULL,NULL,NULL
10,3,147,NULL,NULL,NULL,NULL
11,3,133,NULL,NULL,NULL,NULL
12,3,40,NULL,NULL,NULL,NULL
13,3,41,NULL,NULL,NULL,NULL
14,3,131,NULL,NULL,NULL,NULL
15,3,197,NULL,NULL,NULL,NULL
16,3,210,NULL,NULL,NULL,NULL
17,3,213,NULL,NULL,NULL,NULL
18,3,115,NULL,NULL,NULL,NULL
19,3,219,NULL,NULL,NULL,NULL
20,3,220,NULL,NULL,NULL,NULL
21,3,224,NULL,NULL,NULL,NULL
22,3,136,NULL,NULL,NULL,NULL
23,3,118,NULL,NULL,NULL,NULL
24,3,33,NULL,NULL,NULL,NULL
25,3,227,NULL,NULL,NULL,NULL
26,3,31,NULL,NULL,NULL,NULL
27,3,134,NULL,NULL,NULL,NULL
28,3,191,NULL,NULL,NULL,NULL
29,3,230,NULL,NULL,NULL,NULL
30,3,48,NULL,NULL,NULL,NULL
31,3,30,NULL,NULL,NULL,NULL
32,3,184,NULL,NULL,NULL,NULL
33,3,231,NULL,NULL,NULL,NULL
34,3,250,NULL,NULL,NULL,NULL
35,3,251,NULL,NULL,NULL,NULL
36,3,32,NULL,NULL,NULL,NULL
37,3,137,NULL,NULL,NULL,NULL
38,3,253,NULL,NULL,NULL,NULL
39,3,257,NULL,NULL,NULL,NULL
40,3,143,NULL,NULL,NULL,NULL
41,3,43,NULL,NULL,NULL,NULL
42,3,42,NULL,NULL,NULL,NULL
43,3,259,NULL,NULL,NULL,NULL
45,3,269,NULL,NULL,NULL,NULL
47,3,268,NULL,NULL,NULL,NULL
48,3,272,NULL,NULL,NULL,NULL
49,3,273,NULL,NULL,NULL,NULL
51,3,106,NULL,NULL,NULL,NULL
52,3,232,NULL,NULL,NULL,NULL
53,3,135,NULL,NULL,NULL,NULL
54,3,44,NULL,NULL,NULL,NULL
55,3,281,NULL,NULL,NULL,NULL
56,3,282,NULL,NULL,NULL,NULL
57,3,36,NULL,NULL,NULL,NULL
58,3,285,NULL,NULL,NULL,NULL
59,3,287,NULL,NULL,NULL,NULL
60,3,108,NULL,NULL,NULL,NULL
61,3,297,NULL,NULL,NULL,NULL
62,3,35,NULL,NULL,NULL,NULL
64,3,300,NULL,NULL,NULL,NULL
65,3,304,NULL,NULL,NULL,NULL
67,3,313,NULL,NULL,NULL,NULL
68,3,314,NULL,NULL,NULL,NULL
69,3,318,NULL,NULL,NULL,NULL
71,3,325,NULL,NULL,NULL,NULL
72,3,50,NULL,NULL,NULL,NULL
73,3,327,NULL,NULL,NULL,NULL
74,3,328,NULL,NULL,NULL,NULL
76,3,332,NULL,NULL,NULL,NULL
78,3,330,NULL,NULL,NULL,NULL
79,3,331,NULL,NULL,NULL,NULL
80,3,334,NULL,NULL,NULL,NULL
81,3,339,NULL,NULL,NULL,NULL
82,3,139,NULL,NULL,NULL,NULL
83,3,343,NULL,NULL,NULL,NULL
86,3,233,NULL,NULL,NULL,NULL
87,3,229,NULL,NULL,NULL,NULL
88,3,356,NULL,NULL,NULL,NULL
89,3,341,NULL,NULL,NULL,NULL
90,3,365,NULL,NULL,NULL,NULL
91,3,373,NULL,NULL,NULL,NULL
92,3,376,NULL,NULL,NULL,NULL
93,3,392,NULL,NULL,NULL,NULL
